Васильевское,3455
Васильевское,3650
Обухово,10003
Сычёво,2847
Горки Ленинские,4153
Горки Ленинские,4153
Балашиха,468221
Бронницы,22567
Власиха,25952
Восход,1866
Дзержинский,55669
Долгопрудный,108861
Домодедово,127850
Дубна,75144
Егорьевск,73766
Жуковский,108187
Зарайск,23120
Звенигород,22513
Звездный городок,5426
Ивантеевка,76612
Истра,34309
Дедовск,29738
Снегири,2929
Кашира,48656
Коломна,142691
Пески,3626
Королёв,222952
Котельники,44869
Красноармейск,26519
Красногорск,161525
Нахабино,43417
Краснознаменск,41769
Лобня,88220
Лосино-Петровский,25424
Луховицы,30228
Белоомут,6003
Лыткарино,57946
Люберцы,202918
Красково,24364
Малаховка,25801
Октябрьский,19482
Томилино,31440
Молодёжный,2849
Мытищи,211606
Наро-Фоминск,62119
Апрелевка,27860
Верея,5090
Калининец,22425
Селятино,13088
Озёры,25359
Орехово-Зуево,118822
Павловский Посад,64865
Большие Дворы,4868
Подольск,302831
Протвино,36400
Пущино,20962
Реутов,103779
Рошаль,20418
Руза,13182
Тучково,18380
Серебряные Пруды,8927
Серпухов,125817
Ступино,66075
Жилево,2396
Малино,3839
Михнево,11428
Фрязино,60437
Химки,250688
Черноголовка,21342
Чехов,71301
Столбовая,5012
Шатура,32838
Мишеронский,3754
Черусти,2693
Шаховская,10611
Электрогорск,22950
Электросталь,158226
Волоколамск,19824
Сычёво,2847
Кашинское,3037
Осташевское,2801
Спасское,2556
Теряевское,4016
Чисменское,2949
Ярополецкое,2890
Воскресенск,93565
Белоозёрский,18297
Хорлово,7663
им. Цюрупы,4327
Ашитковское,16323
Фединское,8043
Дмитров,68044
Яхрома,14275
Деденево,6451
Икша,4093
Некрасовский,11528
Большерогачевское,4532
Габовское,9479
Костинское,2735
Куликовское,5004
Синьковское,12860
Якотское,5324
Клин,79168
Высоковск,10586
Решетниково,3390
Воздвиженское,2706
Воронинское,4386
Зубовское,3840
Нудольское,6109
Петровское,2286
Видное,66158
